tweet_id,text,created_at_utc,created_at_et,lang,is_retweet,is_reply,is_quote,conversation_id,like_count,retweet_count,reply_count,quote_count,engagement_score
1963331100828188770,@StockMKTNewz Apple is a phone company. Steve Jobs wouldn’t have ever allowed this.,2025-09-03T19:59:46+00:00,2025-09-03T15:59:46-04:00,en,False,True,False,1963330558743679462,3,0,0,0,2.000000
1963331105203142772,@mac_dohm @justinamash I still think it's reverse psychology to get liberals obsessed with the Epstein stuff.  Democrats sounding like Qanon conspiracy theory nuts is kinda sweet.,2025-09-03T19:59:47+00:00,2025-09-03T15:59:47-04:00,en,False,True,False,1963297081419829285,1,0,1,0,1.732051
1963331117135925468,"@wrolarm_05 @yabaleftonline The Pixel 10 Pro XL starts at $1,199.99 for 256GB.  The iPhone 17 Air isn't released yet (event Sept 9), but reports suggest it'll start at $949. Prices may vary by region/storage.",2025-09-03T19:59:49+00:00,2025-09-03T15:59:49-04:00,en,False,True,False,1962915926908797048,0,0,1,0,1.414214
1963331093043491214,@Tigra8306 @Apple Apple is pretty smart they wait for the company’s like Samsung and google to add features and see what stick and they come and refine that,2025-09-03T19:59:44+00:00,2025-09-03T15:59:44-04:00,en,False,True,False,1960430416629792885,1,0,0,0,1.414214
1963331091361927278,"The markets love a good narrative, and Apple's AI ambitions are certainly a juicy one. But let’s not forget—innovation can often be a smokescreen for underlying issues.   As $AAPL gears up for this rollout, watch for order flow.",2025-09-03T19:59:43+00:00,2025-09-03T15:59:43-04:00,en,False,False,True,1963331091361927278,0,0,1,0,1.414214
1963331156994105441,@DeItaone Apple folded hard,2025-09-03T19:59:59+00:00,2025-09-03T15:59:59-04:00,en,False,True,False,1963330997488889925,0,0,0,0,1.000000
1963331116862976070,@PopBase I was today years old when I learnt IG wasn’t on iPad 😲,2025-09-03T19:59:49+00:00,2025-09-03T15:59:49-04:00,en,False,True,False,1963306469899809138,0,0,0,0,1.000000
1963693526816047146,"🌊 The Magnificent 7: @Google, @Apple, @Tesla, @amazon, @nvidia, @Meta and @Microsoft now available onchain!   🤝",2025-09-04T19:59:55+00:00,2025-09-04T15:59:55-04:00,en,False,False,False,1963693526816047146,67,11,0,0,9.486833
1963693468095582572,All Size to Zero trades shared (Updated) $AAPL 727%    $CAT 455%   $PDD 423%    $CHWY 303%    $ETHA 245%    $DKNG 100%    $PTON 91%  $TSLA 54%  $MP 50%,2025-09-04T19:59:41+00:00,2025-09-04T15:59:41-04:00,en,False,False,False,1963693468095582572,5,1,17,0,5.000000
1963693457911791864,All the Pat Mac dudes are exposing themselves. Corporate sell outs. Old Pat Mac and crew would be enraged about this.,2025-09-04T19:59:38+00:00,2025-09-04T15:59:38-04:00,en,False,False,False,1963693457911791864,5,0,0,0,2.449490
